address,mint,leak,limit,num_nodes,num_edges,avg_degree,density,connected_components,avg_clustering
0x0414d8c87b271266a5864329fb4932bbe19c0c49,1,0,0,3352,3351,1.9994033412887828,0.0002983293556085919,1,0.0
0x292f57c7fcd726ba651e46b620d99cc6afe0ec1c,0,1,1,5816,5815,1.999656121045392,0.000171939477303989,1,0.0
0x9db8a10c7fe60d84397860b3af2e686d4f90c2b7,1,1,1,4677,4676,1.999572375454351,0.00021381227282446012,1,0.0
0xabe776435f7459e2f5ba773bfb753ed19a053dd0,0,0,0,2582,2581,1.9992254066615027,0.0003872966692486445,1,0.0
0x8d07f605926837ea0f9e1e24dba0fb348cb3e97d,0,1,1,9550,9549,1.9997905759162304,0.00010471204188481675,1,0.0
0x42269ac712372ac89a158ad5a32806c6b6782d66,0,1,0,10018,10017,1.9998003593531644,9.982032341784787e-05,1,0.0
0xdf7ff95aa3d855a6fb21399432166a92fdcf1b1a,1,0,0,3681,3680,1.9994566693833198,0.00027166530834012495,1,0.0
0x198376f921570e3cc547fd5c16e482cded8b4d1d,0,0,1,1624,1623,1.998768472906404,0.0006157635467980296,1,0.0
0x9d52414c4cc1fb8e7864a9b59495f430f8e5de44,0,0,0,24,23,1.9166666666666667,0.041666666666666664,1,0.0
0x50c6ec50a89a946c5886aeb54a22fe732558f7d1,0,1,0,5042,5041,1.9996033320111066,0.00019833399444664816,1,0.0
0xde9e52f1838951e4d2bb6c59723b003c353979b6,1,0,0,4096,4095,1.99951171875,0.000244140625,1,0.0
0xe1a0ce8b94c6a5e4791401086763d7bd0a6c18f5,0,0,0,1634,1633,1.9987760097919216,0.0006119951040391676,1,0.0
0x85aa3f04e539e426cbb55c0d584ea99cfe1d96a1,0,0,0,6723,6722,1.9997025137587388,0.00014874312063067083,1,0.0
0xe4182e57eeb29fbc2b3469e45c9e385cea8995ab,0,0,0,6379,6378,1.9996864712337357,0.00015676438313215238,1,0.0
0xf0b692ace03ffb689628e68d4919f91723d1c5a2,0,0,0,2690,2689,1.9992565055762082,0.0003717472118959108,1,0.0
0xaaf8c293ed36989d1871d2310b2845450d885673,0,0,0,2439,2438,1.999179991799918,0.0004100041000410004,1,0.0
0x4165084a6e5388ce53c9d9892f904a2712dd943a,0,0,1,4129,4128,1.9995156212157907,0.0002421893921046258,1,0.0
0x91383a15c391c142b80045d8b4730c1c37ac0378,0,0,0,1558,1557,1.9987163029525032,0.0006418485237483953,1,0.0
0x16dfb898cf7029303c2376031392cb9bac450f94,0,0,0,3242,3241,1.999383096853794,0.00030845157310302283,1,0.0
0x17e65e6b9b166fb8e7c59432f0db126711246bc0,0,0,0,5560,5559,1.999640287769784,0.00017985611510791367,1,0.0
0xec4cb1148ec60e00a6bfcfce4482db724db6bdde,0,0,0,3362,3361,1.9994051160023796,0.000297441998810232,1,0.0
0x6b5e9e55921e5e412cf1002599c05d4428cf50c5,0,0,0,1544,1543,1.9987046632124352,0.0006476683937823834,1,0.0
0xa942890d7fc60f0d4a516f63dd273dcde72ae6c9,1,0,1,7468,7467,1.9997321906802357,0.0001339046598821639,1,0.0
0x797885c0a6cfffcbc4d2e3c1ca0b4f07112db6a3,0,0,1,4093,4092,1.9995113608600048,0.0002443195699975568,1,0.0
0xb504035a11e672e12a099f32b1672b9c4a78b22f,0,0,0,2363,2362,1.999153618281845,0.00042319085907744394,1,0.0
0xd28c8ff18f811e5fcd9b5b07889a343da8fd6502,0,0,0,2364,2363,1.9991539763113366,0.00042301184433164127,1,0.0
0xa7cd93ed3133d82781cc17460fe1500b69a1b514,0,0,0,1538,1537,1.9986996098829648,0.0006501950585175553,1,0.0
0xd217dc0cab1c952a7ce6f4d7ca4549cde1f37bb0,1,0,1,5949,5948,1.9996638090435368,0.00016809547823163558,1,0.0
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,0,0,2842,2841,1.9992962702322308,0.0003518648838845883,1,0.0
0x548c9731ae163a73a28916eeb11717fe446dab54,1,0,0,3835,3834,1.9994784876140808,0.0002607561929595828,1,0.0
0x8b2e68075a06959e3e35aa0e451a13e099e41b23,1,0,0,4474,4473,1.9995529727313366,0.00022351363433169424,1,0.0
0x1c5ee1ffebec5f3e1686e8e59d43f96a3c702b7f,0,0,0,1425,1424,1.9985964912280703,0.0007017543859649122,1,0.0
0x108d0f1fc10ed324f8cc65d0a91cad11cd4994a4,0,1,0,8705,8704,1.9997702469844916,0.00011487650775416428,1,0.0
0xee45e37e2b73e86c709d9edd1c8ea3b0ec72dad3,0,0,1,2689,2688,1.9992562290814428,0.0003718854592785422,1,0.0
0x8275ebf521dc217aa79c88132017a5bcef001dd9,0,0,0,2692,2691,1.99925705794948,0.0003714710252600297,1,0.0
0xb954562066c71b3e6e7b2ac330b03c74c0dcd5ae,0,0,1,4558,4557,1.9995612110574814,0.00021939447125932427,1,0.0
0xba751bff276907c438e927d2c2f18de574195e4b,1,0,1,4382,4381,1.9995435874030123,0.00022820629849383843,1,0.0
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,0,0,0,15851,15850,1.9998738249952683,6.308750236578134e-05,1,0.0
0x87230146e138d3f296a9a77e497a2a83012e9bc5,0,0,0,340,339,1.9941176470588236,0.0029411764705882353,1,0.0
0x82902c20c5826984588dcd2dfcc322e05dcc435c,0,0,1,4106,4105,1.9995129079396006,0.00024354603019970775,1,0.0
